X_GK,Y_GK,channel_azimuth_deg,source
4386651.0,4604943.97,170.1,river
4386651.0,4605643.97,172.4,river
4386651.0,4606343.97,173.1,river
4386651.0,4607043.97,173.2,river
4386651.0,4607743.97,173.5,river
4386651.0,4608443.97,175.4,river
4386651.0,4609143.97,1.7,river
4386651.0,4609843.97,77.1,river
4386651.0,4610543.97,85.2,river
4386651.0,4611243.97,91.2,river
4386651.0,4611943.97,99.4,river
4386651.0,4612643.97,100.4,river
4386651.0,4613343.97,103.5,river
4386651.0,4614043.97,98.5,river
4386651.0,4614743.97,96.7,river
4386651.0,4615443.97,104.6,river
4386651.0,4616143.97,146.1,river
4386651.0,4616843.97,173.7,river
4386651.0,4617543.97,2.0,river
4386651.0,4618243.97,3.4,river
4386651.0,4618943.97,151.0,river
4386651.0,4619643.97,133.5,river
4386651.0,4620343.97,126.6,river
4386651.0,4621043.97,115.4,river
4386651.0,4621743.97,115.2,river
4386651.0,4622443.97,115.4,river
4386651.0,4623143.97,112.6,river
4386651.0,4623843.97,108.6,river
4386651.0,4624543.97,106.3,river
4386651.0,4625243.97,95.3,river
4386651.0,4625943.97,34.8,river
4386651.0,4626643.97,39.8,river
4386651.0,4627343.97,36.5,river
4386651.0,4628043.97,15.4,river
4387351.0,4597243.97,100.1,river
4387351.0,4597943.97,97.8,river
4387351.0,4598643.97,74.8,river
4387351.0,4599343.97,46.5,river
4387351.0,4600043.97,43.6,river
4387351.0,4600743.97,33.2,river
4387351.0,4601443.97,109.1,river
4387351.0,4602143.97,179.4,river
4387351.0,4602843.97,169.8,river
4387351.0,4603543.97,160.3,river
4387351.0,4604243.97,167.2,river
4387351.0,4604943.97,171.8,river
4387351.0,4605643.97,176.0,river
4387351.0,4606343.97,173.9,river
4387351.0,4607043.97,173.7,river
4387351.0,4607743.97,175.3,river
4387351.0,4608443.97,179.5,river
4387351.0,4609143.97,7.7,river
4387351.0,4609843.97,80.9,river
4387351.0,4610543.97,90.3,river
4387351.0,4611243.97,95.2,river
4387351.0,4611943.97,97.6,river
4387351.0,4612643.97,100.1,river
4387351.0,4613343.97,102.4,river
4387351.0,4614043.97,103.4,river
4387351.0,4614743.97,105.5,river
4387351.0,4615443.97,112.0,river
4387351.0,4616143.97,177.7,river
4387351.0,4616843.97,0.1,river
4387351.0,4617543.97,4.5,river
4387351.0,4618243.97,6.5,river
4387351.0,4618943.97,156.8,river
4387351.0,4619643.97,137.9,river
4387351.0,4620343.97,129.3,river
4387351.0,4621043.97,112.7,river
4387351.0,4621743.97,112.2,river
4387351.0,4622443.97,111.5,river
4387351.0,4623143.97,109.4,river
4387351.0,4623843.97,107.4,river
4387351.0,4624543.97,105.4,river
4387351.0,4625243.97,100.8,river
4387351.0,4625943.97,67.5,river
4387351.0,4626643.97,54.2,river
4387351.0,4627343.97,69.2,river
4388051.0,4595143.97,96.8,river
4388051.0,4595843.97,94.5,river
4388051.0,4596543.97,100.0,river
4388051.0,4597243.97,104.2,river
4388051.0,4597943.97,107.5,river
4388051.0,4598643.97,90.3,river
4388051.0,4599343.97,22.4,river
4388051.0,4600043.97,18.7,river
4388051.0,4600743.97,102.5,river
4388051.0,4601443.97,102.2,river
4388051.0,4602143.97,142.3,river
4388051.0,4602843.97,142.6,river
4388051.0,4603543.97,139.9,river
4388051.0,4604243.97,164.4,river
4388051.0,4604943.97,171.7,river
4388051.0,4605643.97,176.6,river
4388051.0,4606343.97,178.6,river
4388051.0,4607043.97,176.9,river
4388051.0,4607743.97,174.8,river
4388051.0,4608443.97,176.7,river
4388051.0,4609143.97,2.0,river
4388051.0,4609843.97,87.8,river
4388051.0,4610543.97,93.2,river
4388051.0,4611243.97,95.5,river
4388051.0,4611943.97,97.3,river
4388051.0,4612643.97,99.4,river
4388051.0,4613343.97,104.1,river
4388051.0,4614043.97,104.8,river
4388051.0,4614743.97,108.5,river
4388051.0,4615443.97,109.2,river
4388051.0,4616143.97,4.6,river
4388051.0,4616843.97,10.9,river
4388051.0,4617543.97,19.4,river
4388051.0,4618243.97,22.6,river
4388051.0,4618943.97,11.0,river
4388051.0,4619643.97,148.1,river
4388051.0,4620343.97,126.1,river
4388051.0,4621043.97,112.5,river
4388051.0,4621743.97,110.3,river
4388051.0,4622443.97,109.4,river
4388051.0,4623143.97,108.7,river
4388051.0,4623843.97,107.4,river
4388051.0,4624543.97,106.5,river
4388051.0,4625243.97,96.7,river
