x_km,y_km,src
10.785,42.054,map1_tophat
8.062,41.925,map1_tophat
8.122,41.925,map1_tophat
8.181,41.926,map1_tophat
8.24,41.926,map1_tophat
8.299,41.927,map1_tophat
10.134,41.947,map1_tophat
10.194,41.947,map1_tophat
10.253,41.948,map1_tophat
10.312,41.949,map1_tophat
10.371,41.949,map1_tophat
10.43,41.95,map1_tophat
10.49,41.95,map1_tophat
10.549,41.951,map1_tophat
10.608,41.952,map1_tophat
10.667,41.952,map1_tophat
10.726,41.953,map1_tophat
8.122,41.825,map1_tophat
8.181,41.826,map1_tophat
8.24,41.826,map1_tophat
8.3,41.827,map1_tophat
8.359,41.828,map1_tophat
8.418,41.828,map1_tophat
10.076,41.846,map1_tophat
10.135,41.847,map1_tophat
10.194,41.847,map1_tophat
10.253,41.848,map1_tophat
10.312,41.849,map1_tophat
10.372,41.849,map1_tophat
10.431,41.85,map1_tophat
10.49,41.851,map1_tophat
10.549,41.851,map1_tophat
10.608,41.852,map1_tophat
10.668,41.852,map1_tophat
8.182,41.726,map1_tophat
8.241,41.726,map1_tophat
8.3,41.727,map1_tophat
8.359,41.728,map1_tophat
8.418,41.728,map1_tophat
8.478,41.729,map1_tophat
8.537,41.73,map1_tophat
9.958,41.745,map1_tophat
10.017,41.745,map1_tophat
10.076,41.746,map1_tophat
10.135,41.747,map1_tophat
10.194,41.747,map1_tophat
10.254,41.748,map1_tophat
10.313,41.749,map1_tophat
10.372,41.749,map1_tophat
10.431,41.75,map1_tophat
10.49,41.751,map1_tophat
10.55,41.751,map1_tophat
10.609,41.752,map1_tophat
8.3,41.627,map1_tophat
8.359,41.628,map1_tophat
8.419,41.628,map1_tophat
8.478,41.629,map1_tophat
8.537,41.63,map1_tophat
8.596,41.63,map1_tophat
8.655,41.631,map1_tophat
8.715,41.632,map1_tophat
9.662,41.642,map1_tophat
9.721,41.642,map1_tophat
9.78,41.643,map1_tophat
9.84,41.644,map1_tophat
9.899,41.644,map1_tophat
9.958,41.645,map1_tophat
10.017,41.645,map1_tophat
10.076,41.646,map1_tophat
10.136,41.647,map1_tophat
10.195,41.647,map1_tophat
10.254,41.648,map1_tophat
