river,x_km,y_km,order
MAT,15.786,42.757,1
MAT,12.792,43.776,2
MAT,11.107,42.958,3
MAT,9.604,41.143,4
MAT,8.421,41.23,5
DROJA,15.649,8.209,1
DROJA,15.055,8.402,2
