x_km,y_km
9.19,41.237
9.249,41.237
9.308,41.238
9.367,41.239
9.427,41.239
9.486,41.24
9.545,41.24
9.604,41.241
9.663,41.242
9.723,41.242
9.782,41.243
9.841,41.244
9.9,41.244
9.959,41.245
10.019,41.246
10.078,41.246
10.137,41.247
10.196,41.247
10.255,41.248
8.302,41.127
8.361,41.128
8.421,41.128
8.48,41.129
8.539,41.13
8.598,41.13
8.657,41.131
8.717,41.132
8.776,41.132
8.835,41.133
8.894,41.134
8.953,41.134
9.013,41.135
9.072,41.135
9.131,41.136
9.19,41.137
9.249,41.137
9.309,41.138
9.368,41.139
9.427,41.139
9.486,41.14
9.545,41.14
9.605,41.141
9.664,41.142
9.723,41.142
9.782,41.143
9.841,41.144
9.901,41.144
9.96,41.145
10.019,41.146
10.078,41.146
10.137,41.147
8.362,41.028
8.421,41.028
8.48,41.029
8.539,41.03
8.599,41.03
8.658,41.031
8.717,41.032
8.776,41.032
8.835,41.033
8.895,41.034
8.954,41.034
9.013,41.035
9.072,41.035
9.131,41.036
9.191,41.037
9.25,41.037
9.309,41.038
9.368,41.039
9.427,41.039
9.487,41.04
9.546,41.04
9.605,41.041
9.664,41.042
9.723,41.042
9.783,41.043
9.842,41.044
9.901,41.044
9.96,41.045
10.019,41.046
10.079,41.046
8.481,40.929
8.54,40.93
8.599,40.93
8.658,40.931
8.717,40.932
8.777,40.932
8.836,40.933
8.895,40.934
8.954,40.934
9.013,40.935
9.073,40.935
9.132,40.936
9.191,40.937
9.25,40.937
9.309,40.938
9.369,40.939
9.428,40.939
9.487,40.94
9.546,40.941
9.605,40.941
9.665,40.942
9.724,40.942
9.783,40.943
9.842,40.944
9.901,40.944
9.961,40.945
10.02,40.946
8.599,40.83
8.658,40.831
8.718,40.832
8.777,40.832
8.836,40.833
8.895,40.834
8.954,40.834
9.014,40.835
9.073,40.835
9.132,40.836
9.191,40.837
9.251,40.837
9.31,40.838
9.369,40.839
9.428,40.839
9.487,40.84
9.547,40.841
9.606,40.841
9.665,40.842
9.724,40.842
9.783,40.843
8.659,40.731
8.718,40.732
8.777,40.732
8.836,40.733
8.896,40.734
8.955,40.734
9.014,40.735
9.073,40.735
9.132,40.736
9.192,40.737
9.251,40.737
9.31,40.738
9.369,40.739
9.428,40.739
9.488,40.74
9.547,40.741
9.606,40.741
9.665,40.742
9.724,40.742
8.718,40.632
8.778,40.632
8.837,40.633
8.896,40.634
8.955,40.634
9.014,40.635
9.074,40.635
9.133,40.636
9.192,40.637
9.251,40.637
9.31,40.638
8.778,40.532
8.837,40.533
8.896,40.534
8.956,40.534
9.015,40.535
9.074,40.536
9.133,40.536
9.192,40.537
9.252,40.537
8.956,40.434
9.015,40.435
9.074,40.436
9.134,40.436
3.585,35.977
3.644,35.978
3.704,35.979
3.586,35.877
3.645,35.878
2.41,33.665
2.351,33.564
2.41,33.565
2.351,33.464
2.41,33.465
2.47,33.466
4.364,33.486
4.423,33.486
4.601,33.488
2.411,33.365
2.47,33.366
2.529,33.366
2.588,33.367
4.305,33.385
4.364,33.386
4.424,33.387
4.601,33.388
4.66,33.389
2.411,33.265
2.47,33.266
2.53,33.266
2.589,33.267
2.648,33.268
2.707,33.268
4.246,33.285
4.306,33.285
4.365,33.286
4.424,33.287
4.542,33.288
4.602,33.288
4.661,33.289
2.412,33.165
