pt,X_GK,Y_GK,x_km,y_km
1,4385144.57,4628411.0,3.393570000000298,52.16703000000026
2,4385144.57,4628323.03,3.393570000000298,52.079060000000524
3,4385104.17,4628235.06,3.3531699999999254,51.99108999999985
4,4385104.17,4628147.09,3.3531699999999254,51.903120000000115
5,4385104.17,4628059.11,3.3531699999999254,51.815140000000596
6,4385063.77,4627971.14,3.312769999999553,51.72716999999992
7,4385063.77,4627883.17,3.312769999999553,51.63920000000019
8,4385063.77,4627795.2,3.312769999999553,51.551230000000444
9,4385023.37,4627707.23,3.272370000000112,51.46326000000071
10,4385023.37,4627619.26,3.272370000000112,51.375290000000035
11,4385023.37,4627531.29,3.272370000000112,51.2873200000003
12,4385023.37,4627443.31,3.272370000000112,51.19933999999985
13,4384982.97,4627355.34,3.2319699999997393,51.111370000000115
14,4384982.97,4627267.37,3.2319699999997393,51.02340000000037
15,4384982.97,4627179.4,3.2319699999997393,50.935430000000636
16,4384942.57,4627091.43,3.191570000000298,50.84745999999996
17,4384902.17,4627003.46,3.1511699999999254,50.75949000000023
18,4384861.77,4626915.49,3.110769999999553,50.671520000000484
19,4384861.77,4626827.52,3.110769999999553,50.58354999999981
20,4384821.37,4626739.54,3.070370000000112,50.4955700000003
21,4384821.37,4626651.57,3.070370000000112,50.407600000000556
22,4384821.37,4626563.6,3.070370000000112,50.31962999999989
23,4384821.37,4626475.63,3.070370000000112,50.23166000000015
24,4384780.97,4626387.66,3.0299699999997394,50.14369000000041
25,4384740.57,4626387.66,2.989570000000298,50.14369000000041
26,4384700.17,4626299.69,2.9491699999999255,50.05572000000067
27,4384659.77,4626299.69,2.908769999999553,50.05572000000067
28,4384619.37,4626211.72,2.8683700000001116,49.96775
29,4384578.97,4626211.72,2.8279699999997394,49.96775
30,4384538.57,4626211.72,2.787570000000298,49.96775
31,4384498.17,4626211.72,2.7471699999999255,49.96775
32,4384457.77,4626123.74,2.706769999999553,49.879770000000484
33,4384417.37,4626123.74,2.6663700000001116,49.879770000000484
34,4384376.97,4626123.74,2.625969999999739,49.879770000000484
35,4384336.58,4626123.74,2.5855800000000744,49.879770000000484
36,4384296.18,4626123.74,2.545179999999702,49.879770000000484
37,4384255.78,4626123.74,2.504780000000261,49.879770000000484
38,4384215.38,4626123.74,2.4643799999998883,49.879770000000484
39,4384174.98,4626123.74,2.423980000000447,49.879770000000484
40,4384134.58,4626123.74,2.3835800000000744,49.879770000000484
41,4384094.18,4626123.74,2.343179999999702,49.879770000000484
42,4384053.78,4626123.74,2.302780000000261,49.879770000000484
43,4384013.38,4626123.74,2.2623799999998884,49.879770000000484
44,4383972.98,4626211.72,2.221980000000447,49.96775
45,4383932.58,4626123.74,2.1815800000000745,49.879770000000484
46,4383892.18,4626123.74,2.141179999999702,49.879770000000484
47,4383851.78,4626211.72,2.1007800000002606,49.96775
48,4383811.38,4626211.72,2.0603799999998884,49.96775
49,4383770.98,4626211.72,2.019980000000447,49.96775
50,4383730.58,4626211.72,1.9795800000000745,49.96775
51,4383690.18,4626211.72,1.939179999999702,49.96775
52,4383649.78,4626211.72,1.8987800000002608,49.96775
53,4383609.38,4626211.72,1.8583799999998882,49.96775
54,4383568.98,4626211.72,1.8179800000004471,49.96775
55,4383528.58,4626211.72,1.7775800000000745,49.96775
56,4383488.18,4626211.72,1.737179999999702,49.96775
57,4383447.78,4626211.72,1.6967800000002609,49.96775
58,4383407.38,4626211.72,1.6563799999998883,49.96775
59,4383366.98,4626211.72,1.615980000000447,49.96775
60,4383326.58,4626211.72,1.5755800000000746,49.96775
61,4383286.19,4626211.72,1.5351900000004097,49.96775
62,4383245.79,4626211.72,1.4947900000000371,49.96775
63,4383205.39,4626211.72,1.4543899999996648,49.96775
64,4383164.99,4626211.72,1.4139900000002235,49.96775
65,4383124.59,4626123.74,1.373589999999851,49.879770000000484
66,4383084.19,4626123.74,1.3331900000004098,49.879770000000484
67,4383043.79,4626123.74,1.2927900000000372,49.879770000000484
68,4383003.39,4626123.74,1.2523899999996648,49.879770000000484
69,4382962.99,4626035.77,1.2119900000002235,49.79179999999981
70,4382922.59,4625947.8,1.171589999999851,49.703830000000075
71,4382882.19,4625859.83,1.1311900000004098,49.61586000000033
72,4382882.19,4625771.86,1.1311900000004098,49.527890000000596
73,4382841.79,4625683.89,1.0907900000000372,49.43991999999992
74,4382801.39,4625683.89,1.0503899999996646,49.43991999999992
75,4382801.39,4625595.92,1.0503899999996646,49.35195000000019
76,4382801.39,4625507.94,1.0503899999996646,49.26397000000067
77,4382760.99,4625419.97,1.0099900000002235,49.176
78,4382760.99,4625332.0,1.0099900000002235,49.08803000000026
79,4382720.59,4625244.03,0.969589999999851,49.00006000000052
80,4382680.19,4625244.03,0.9291900000004097,49.00006000000052
81,4382639.79,4625156.06,0.8887900000000373,48.91208999999985
82,4382639.79,4625068.09,0.8887900000000373,48.824120000000114
83,4382639.79,4624980.12,0.8887900000000373,48.73615000000037
84,4382639.79,4624892.14,0.8887900000000373,48.64816999999992
85,4382639.79,4624804.17,0.8887900000000373,48.56020000000019
86,4382639.79,4624716.2,0.8887900000000373,48.472230000000444
87,4382639.79,4624628.23,0.8887900000000373,48.38426000000071
88,4382680.19,4624628.23,0.9291900000004097,48.38426000000071
89,4382720.59,4624628.23,0.969589999999851,48.38426000000071
90,4382760.99,4624628.23,1.0099900000002235,48.38426000000071
91,4382801.39,4624628.23,1.0503899999996646,48.38426000000071
92,4382841.79,4624540.26,1.0907900000000372,48.296290000000035
93,4382801.39,4624452.29,1.0503899999996646,48.2083200000003
94,4382801.39,4624364.32,1.0503899999996646,48.120350000000556
95,4382801.39,4624276.35,1.0503899999996646,48.03237999999989
96,4382801.39,4624188.37,1.0503899999996646,47.94440000000037
97,4382841.79,4624100.4,1.0907900000000372,47.856430000000636
98,4382882.19,4624012.43,1.1311900000004098,47.76845999999996
99,4382922.59,4624012.43,1.171589999999851,47.76845999999996
100,4382962.99,4623924.46,1.2119900000002235,47.680490000000226
101,4383003.39,4623924.46,1.2523899999996648,47.680490000000226
