fold,DPC_PINN,OK,RK_DRASTIC,RF,paired_diff
1,0.468404279474847,0.469754705327658,0.470549669656116,0.482211042750696,-0.00214539018126841
2,0.322534179869478,0.321621307822776,0.322544265323408,0.434628972644746,-1.00854539299422e-05
3,0.266114496816985,0.244873554153933,0.230935581977154,0.367528544012963,0.035178914839831
4,0.249230643900533,0.181965527398926,0.18980729353288,0.34092492054341,0.0594233503676535
5,0.367668703817838,0.438646402400336,0.412026833357869,0.40342678923116,-0.0443581295400313
