x_km,y_km,logK_mean,logK_sd,n_mean,n_sd,h_mean
0,30.275508482143,4.19283288002014,0.0534807425782172,0.25917685687542,0.00383827274517179,33.9583735275269
0,30.3272614880954,4.19675785064697,0.0575821795297981,0.259657446742058,0.00422662826115514,33.7687459182739
0,30.3790144940478,4.19976453781128,0.0670508538493346,0.259878852367401,0.00520052493282316,33.7768157958984
0,30.4307675000002,4.18813745498657,0.0692684896768796,0.258877983987331,0.00533768066154929,34.289557800293
0,30.4825205059525,4.20094799041748,0.0637602392494454,0.259841792583466,0.00464716357717535,33.828586769104
0,30.5342735119049,4.20227770805359,0.059809269063965,0.25959551513195,0.00424504683266433,34.0015999984741
0,30.5860265178573,4.20753509521484,0.0656236054968861,0.260187193751335,0.00486076905661836,34.6899293518066
0.0518411027568913,30.1720024702382,4.17187589645386,0.0658327705632201,0.257630612850189,0.00496469577548426,34.0980778503418
0.0518411027568913,30.2237554761906,4.18287270545959,0.0532565903563825,0.258557787537575,0.00389309803195954,34.0053498840332
0.0518411027568913,30.275508482143,4.18479696273804,0.0585882905506244,0.258703362643719,0.00429671223745411,33.9416863632202
0.0518411027568913,30.3272614880954,4.19899969100952,0.0681314838434171,0.259623641371727,0.00517332402656537,34.3072101974487
0.0518411027568913,30.3790144940478,4.19070080757141,0.0640539136689863,0.25896679520607,0.00479770665367202,34.3884561920166
0.0518411027568913,30.4307675000002,4.20610426902771,0.0648813781334893,0.260036329627037,0.00488089859949355,34.2051361465454
0.0518411027568913,30.4825205059525,4.21319885253906,0.0744858726176313,0.260437881350517,0.00562260676937294,33.6577305984497
0.0518411027568913,30.5342735119049,4.201256275177,0.0632792241276674,0.259868354797363,0.00497490320655629,33.8803914260864
0.0518411027568913,30.5860265178573,4.22593530654907,0.0671442357914995,0.261490747332573,0.00535531837209249,33.8181433486938
0.0518411027568913,30.6377795238097,4.21883434295654,0.0520814889636859,0.260806124210358,0.00417511304943479,34.1225521850586
0.0518411027568913,30.6895325297621,4.22041970252991,0.0675888869179128,0.261421681046486,0.00497699637612707,33.966245803833
0.103682205513783,30.1202494642859,4.17416660308838,0.0642446691041984,0.257898857295513,0.00479957220173302,34.0343727111816
