method,RMSE,MAE,factor,cov90
DPC-PINN,0.34735443130362,0.281727776272176,1.41531826958302,8.10810810810811
OK,0.352261966008369,0.208781841789788,1.42228106421314,NaN
RK_DRASTIC,0.345530672922109,0.204888360668608,1.41273942333738,NaN
RF,0.411649946854343,0.321438411039752,1.50930600652954,NaN
climatology,0.549396141931137,0.470908541851947,1.73220669499422,NaN
head DPC-PINN,6.81705044594772,5.810528213269,NaN,27.027027027027
head climatology,11.4228547117926,8.98471575023299,NaN,NaN
