mode,L5,L6,L7,L4,logK_RMSE,logK_MAE,factor,cov90_K_pct,head_RMSE,head_MAE,cov90_h_pct
base,0,0,0,0,0.420605964199086,0.219223312948608,1.52288408931669,72.972972972973,6.88700132069386,5.86610637956911,18.9189189189189
+L5,1,0,0,0,0.33777893765003,0.268980526754822,1.40183057718842,16.2162162162162,6.86641423082927,5.87458351238354,18.9189189189189
+L6,0,1,0,0,0.414761631681131,0.21970644133755,1.51400980570389,72.972972972973,6.76678625902957,5.74209434148428,24.3243243243243
+L7,0,0,1,0,0.40566786783613,0.229859870943005,1.50030417042766,72.972972972973,6.87943122712568,5.8437254467526,21.6216216216216
+L5+L6,1,1,0,0,0.338384775587452,0.273249305306628,1.40268011664955,5.40540540540541,6.79993304443509,5.78780315330437,24.3243243243243
+L5+L7,1,0,1,0,0.343161305908555,0.276435750714667,1.40939608750789,5.40540540540541,6.7956656290597,5.81276894217139,21.6216216216216
+L6+L7,0,1,1,0,0.404483450821835,0.227684259186472,1.49852823657234,67.5675675675676,6.82881645486407,5.90570502431543,13.5135135135135
full,1,1,1,0,0.347414366019224,0.280813571634702,1.41540309882308,10.8108108108108,6.79161642009132,5.82684553163546,13.5135135135135
base+L4,0,0,0,1,0.424475054886708,0.228852135086252,1.52878767936297,70.2702702702703,6.8666565370283,5.89216729585115,18.9189189189189
