Well_ID,logK_obs,h_obs,logK_mean,logK_sd_tot,h_mean,h_sd_tot,logK_oob,logK_oob_sd,h_oob,h_oob_sd,n_oob
P3,5.29831736654804,24,5.06651962280273,0.110047840994502,31.8198155975342,2.46465198274823,5.05948182264964,0.120579687929825,32.6922149467468,2.30477428741617,10
P4,5.29831736654804,36,5.14098454422421,0.100909630279868,32.1594972758823,2.48309063343333,5.10476299921672,0.104034239651524,31.823767935924,2.39272287503739,13
P5,5.29831736654804,38,5.14439972135756,0.0965539246682545,32.3400449879964,2.44733324094625,5.09857068724102,0.0978197719848835,32.2475207540724,2.42935720050988,12
P9,5.01063529409626,40,4.73726842827267,0.138662963759067,32.3501854727003,2.46543132904184,4.67654995340289,0.143480287433645,31.7312398216941,2.29163677764248,11
P10,5.29831736654804,37,4.94598282390171,0.160267809275483,32.2023314793905,2.50417673374693,4.87508544921875,0.172093024678526,32.7318300829993,2.58589643252199,12
P12,3.91202300542815,25,4.83234873824649,0.260109421402172,32.1735112423367,2.45335028466594,5.0712874631087,0.112626046827158,33.7619487921397,2.0968264957258,8
P13,3.91202300542815,35,4.20312297874027,0.13100599686017,31.7953706423442,2.3247972591169,4.30983953575293,0.130389552628863,31.7343076944351,2.30963061170395,8
P15,3.91202300542815,45,4.24519152667787,0.160096560657781,33.0375294791328,2.73900989655892,4.34531836977192,0.113497807501155,31.7702600666121,2.27270886013412,17
P17,5.29831736654804,25,4.88148467116886,0.156625239380906,31.877086982727,2.49440687667668,4.82206416741396,0.160985212842861,31.5639908325978,2.74904701982414,13
P19,4.86753445045558,4,4.6901542101966,0.0902280328224224,9.19219779766268,3.73589196065171,4.66692977746328,0.0871185947939513,10.3771928767363,4.2415908603241,16
P20,4.60517018598809,20,4.48283422205183,0.0932144672068371,18.0612793265449,2.29028107333068,4.43745356489111,0.0996914536641591,17.391606871287,1.9885981977426,9
P21,4.60517018598809,32,4.43939499431186,0.0893196183115957,25.8586787965563,1.82589250458332,4.42166941165924,0.100002904330067,25.3815379619598,1.85577461971388,8
R8,4.86753445045558,10,4.56739635308584,0.0983756727632942,14.1061958408356,2.80671480039905,4.52027821296301,0.082699485982005,15.0892432188376,3.28604144082683,13
R11,4.24849524204936,7,4.5031741476059,0.0993363112447931,16.1975972355737,2.58098314266356,4.56411983661163,0.0809011334614271,17.2840864768395,2.75900374110584,13
R12,4.60517018598809,20,4.51800191296472,0.103613086776621,16.0513239224752,2.49944000718811,4.5390128326416,0.121888465563504,16.0932653363546,2.82325052530502,10
R13,4.60517018598809,20,4.48811929013994,0.0927067661750006,17.337016620636,2.4320134571019,4.48831431468328,0.102664497396591,16.7487275017632,2.40216502053761,12
R15,4.60517018598809,20,4.47285765171051,0.0909877999461054,19.0437989881304,2.14543195941834,4.43308309802303,0.111100866621421,18.3339796560782,2.17424780502224,9
R16,4.60517018598809,26,4.46037625259823,0.0890266240465774,21.3025240792169,1.88320054650835,4.45980734924475,0.0906383336597913,20.93711044391,1.86577951680577,16
A1,5.29831736654804,38,5.12894146707323,0.0993591728912745,32.3257953304715,2.55683030790854,5.11918556473472,0.101896495113026,32.3659217603279,2.34820714353254,11
A3,5.29831736654804,14,5.09555753337012,0.101712708650205,31.8658326382107,2.66168981754809,5.0282261912028,0.0969392563680126,33.7887368647257,2.350554519532,10
A4,5.29831736654804,26,5.08416519535912,0.106965251778397,31.9462660831875,2.52713169772733,5.00231291254361,0.097917260111787,31.8292291243871,2.14838809116103,8
A5,5.29831736654804,40,4.96159387906392,0.149602615946367,32.4386857774523,2.57757297332562,4.86624254313382,0.160557832954915,31.5263990922408,2.51586711000022,11
A9,5.29831736654804,30,5.09050630463494,0.117256212036386,32.0299229113261,2.57802193422807,4.99141908751594,0.145978646953389,32.289918200175,2.09174239536041,6
A10,5.29831736654804,25,4.94115483813816,0.139675159539812,31.9215273412069,2.42148237449826,4.8653793665079,0.136114342764944,32.4276195721748,2.58750011699333,13
A11,3.91202300542815,30,4.2149505964915,0.135487256236267,31.8884373283386,2.36532701979621,4.26691705024604,0.11099371220593,31.8967042633981,2.3268450128273,11
A12,4.60517018598809,26,4.46439510451423,0.0891038736516803,21.2062055089739,2.0069225610492,4.42900968657599,0.0995382744681761,20.3859557363722,1.88186051051523,12
A13,4.60517018598809,25,4.36185993591944,0.114261942976341,29.9428042708503,2.06391488903553,4.31692434648673,0.140288489093895,30.0623142162959,1.91059197177938,8
A14,4.86753445045558,4,4.71506592856513,0.0948454991263937,8.68782209773858,3.83495723299508,4.69428312839606,0.102122749399943,10.1000969490944,4.94671225723374,13
A17,4.60517018598809,25,4.44836961004469,0.0862287469573159,24.7216902605693,1.83181350836299,4.43831702391307,0.0929099242049308,24.5087147776286,1.97980441593804,10
