set,quantity,n,raw_cov_pct,q_full,cov_full_pct,cov_loo_pct,bound,worst_z
5-fold CV,logK,37,8.10810810810811,8.8990938847727,94.5945945945946,91.8918918918919,0.918918918918919,17.9498392336283
5-fold CV,head,37,27.027027027027,7.18986587824693,94.5945945945946,91.8918918918919,0.918918918918919,9.97721435761969
bootstrap OOB,logK,37,10.8108108108108,4.19901325103921,94.5945945945946,91.8918918918919,0.918918918918919,10.2930404674473
bootstrap OOB,head,37,37.8378378378378,5.82113273083609,94.5945945945946,91.8918918918919,0.918918918918919,8.4187525540423
