mode,fold,Well_ID,logK_obs,logK_pred,logK_sd,h_obs,h_pred,h_sd,cov90_K,cov90_h
base,1,P3,5.29831736654804,5.30450134277344,0.0906250180585512,24,32.8365762074788,1.52627033895197,1,0
base,1,P5,5.29831736654804,5.26635917027791,0.097981935151553,38,33.0696855545044,1.81487411666745,1,0
base,1,P10,5.29831736654804,5.26032021840413,0.0742679014634107,37,33.130336634318,1.88406397123362,1,0
base,1,P12,3.91202300542815,5.27835116386414,0.0658297663484341,25,33.2976644515991,1.71175732411718,0,0
base,1,P19,4.86753445045558,4.24838799635569,0.134428116760837,4,8.45860646565755,1.76292978187217,0,0
base,1,R8,4.86753445045558,4.63093638420105,0.08607899499973,10,14.6981158256531,1.56233186573808,0,0
base,1,A4,5.29831736654804,5.3313233534495,0.0958930180407795,26,32.2441265106201,1.98576915942446,1,0
base,1,A23,3.91202300542815,3.96607879797618,0.0658691959901173,45,33.0347018559774,1.6057554628012,1,0
base,2,P13,3.91202300542815,3.95001163482666,0.100511863964061,35,32.3492204666138,2.01319641059269,1,1
base,2,P21,4.60517018598809,4.52677779197693,0.0833897247609967,32,25.5134574890137,1.92055332370022,1,0
base,2,R12,4.60517018598809,4.60162161191305,0.0938061860333786,20,14.7627867062887,1.73430276523977,1,0
base,2,R15,4.60517018598809,4.55771449406942,0.0872051283272342,20,18.0140068372091,1.67505413575882,1,1
base,2,A1,5.29831736654804,5.21076108614604,0.0918831508686444,38,31.9840136210124,1.83114198427088,1,0
base,2,A18,3.91202300542815,4.30482460657756,0.132866663417151,15,16.773344707489,1.50648560266075,0,1
base,2,A25,3.91202300542815,4.03878750006358,0.121216457853691,25,31.1657934188843,1.75776341966226,1,0
base,2,A30,5.29831736654804,5.24163293838501,0.0573703058764873,36,32.1419813156128,1.64359559707914,1,0
base,3,P9,5.01063529409626,4.78744316101074,0.221606726477482,40,32.1465001424154,1.2761064536038,1,0
base,3,P15,3.91202300542815,3.94310840765635,0.10483113420976,45,32.3185967127482,1.66407991810421,1,0
base,3,A3,5.29831736654804,5.2706279595693,0.0858809722908821,14,32.0502791722616,1.65713763631769,1,0
base,3,A9,5.29831736654804,5.09660302797953,0.108690958096518,30,31.8091378529867,1.92811582005417,0,1
base,3,A20,4.60517018598809,4.41846350034078,0.117534630160527,25,29.6995616912842,1.40266794489689,1,0
base,3,A21,4.86753445045558,4.72929507891337,0.0816979665767227,6,11.5897307078044,1.95943501206034,0,0
base,3,A28,5.29831736654804,5.24271087646484,0.117743551412787,44,31.8375858306885,1.39668169662162,1,0
base,4,R11,4.24849524204936,4.53133344650269,0.0757790556366589,7,17.0843055407206,1.98135335146125,0,0
base,4,R13,4.60517018598809,4.55214659372966,0.0851894735349476,20,17.5686491648356,1.38945853934778,1,0
base,4,A11,3.91202300542815,3.91959383487701,0.0801007672091106,30,32.3765626271566,1.8349478980849,1,1
base,4,A12,4.60517018598809,4.50482943852743,0.0811942927052462,26,21.6908438364665,1.80732079519653,1,0
base,4,A14,4.86753445045558,4.88103609085083,0.0978150002330832,4,9.05021702448527,2.27599807676385,1,0
base,4,A17,4.60517018598809,4.53460027376811,0.0883184874975295,25,24.9097778320312,1.31738480883868,1,1
