design,new_wells,logK_RMSE,n_RMSE,head_RMSE,logK_gain_pct,n_gain_pct
none (37 wells),0,0.289907705694992,0.0176515359113943,2.89216662886477,0,0
W2,5,0.250786034126837,0.0158119272111585,2.04000975177293,13.4945262922106,10.4218052721874
W2-Lambda,5,0.277098094732155,0.0167296695920581,2.25276440490746,4.41851344797109,5.22258416470799
A-optimal,5,0.235098224221399,0.0160205859576608,2.05244999954095,18.9058380984386,9.23970560930413
space-filling,5,0.243933446692524,0.0168827892465391,1.9307751989806,15.8582397429743,4.35512619816234
random,5,0.363052175240406,0.0208618203680908,2.16026858978085,-25.2302605651909,-18.1869978499959
