OK,OK_sd,RK_DRASTIC,RK_DRASTIC_sd,RF,RF_sd,Well_ID,logK_obs,fold,head_obs,head_OK,head_OK_sd,n_from_OK
5.25358494737326,0.404931394710788,5.2632539490547,0.408614634570034,5.13902320991516,0.286581819121898,P3,5.29831736654804,1,24,26.1580821843799,6.64953213634221,0.368686146605779
5.29420452264833,0.324399527913022,5.28036314954245,0.360641194568319,4.91370569041841,0.550929801035545,P4,5.29831736654804,5,36,35.5444907663638,5.7571882578511,0.34532725335162
5.25435826376198,0.300064663469912,5.2328496485608,0.321347083759939,5.12783230684828,0.266000609536678,P5,5.29831736654804,1,38,37.1650362809114,6.11400871207402,0.336700097109423
4.83744320249471,0.438594904833483,4.82671629171212,0.446090756607199,4.75585268140648,0.567333608296582,P9,5.01063529409626,3,40,36.7447501652469,5.91311799056396,0.307068258488258
5.2045382248545,0.3532756801392,5.18370784885223,0.362383175839555,5.06926724327369,0.340119523040025,P10,5.29831736654804,1,37,36.0385353332229,6.16700100522712,0.332538486470261
5.19483850020994,0.368012631606897,5.19986440839937,0.375665123407738,5.07747581276801,0.375101072444846,P12,3.91202300542815,1,25,32.1117297159609,6.25884137274743,0.331731996614954
4.08143951490771,0.416403329001788,4.08172501624703,0.401319335935159,4.37541175436294,0.483095896516674,P13,3.91202300542815,2,35,33.6523011936345,6.15989547430502,0.257430731659079
4.34283257461553,0.507873034217052,4.32101446839818,0.508125028897161,4.46994597292981,0.5427444873355,P15,3.91202300542815,3,45,39.1419537755909,6.89280586444778,0.276131549543665
4.37829492766241,0.466886395625596,4.45868506533238,0.460826264607754,4.72491190888008,0.535925809693945,P17,5.29831736654804,5,25,26.5051915044052,6.49431589560891,0.272907914267903
4.82826432898369,0.380886142820382,4.86355285293667,0.392103753074119,4.71981337539013,0.23785554003014,P19,4.86753445045558,1,4,6.78701775504392,6.98883529906102,0.332173073084102
4.58553266691248,0.319793535511114,4.55041978666065,0.361296014178167,4.50837511971701,0.165179598963734,P20,4.60517018598809,5,20,18.3907189596217,5.83977529853044,0.288288112147436
4.65627810597567,0.488010749744179,4.62677923760534,0.488925374409071,4.63472468607188,0.243064161226816,P21,4.60517018598809,2,32,24.733664451297,7.35004676675343,0.287086974667766
4.60522144720671,0.41452641145364,4.62140692998987,0.418074754605665,4.62029038661667,0.263040260459594,R8,4.86753445045558,1,10,12.0256114860557,6.76731287507394,0.313955392094306
4.6985754999477,0.481568118910149,4.71351650655507,0.485540544987373,4.76778819253873,0.247961554249538,R11,4.24849524204936,4,7,17.6017033576445,7.03793515815822,0.283533482838294
4.69091063997849,0.486020786587972,4.66374060161502,0.495607971676799,4.71173470125984,0.21178235674586,R12,4.60517018598809,2,20,14.1252737380555,7.23492970945582,0.289708081798682
4.63105717114625,0.385641817906179,4.6100596752401,0.409079882280709,4.574096523864,0.154713725097742,R13,4.60517018598809,4,20,19.308329843645,5.23832359130022,0.278516235113672
4.62475925064522,0.42664219237908,4.62582688713523,0.416852233730152,4.59002428637508,0.121084904558217,R15,4.60517018598809,2,20,21.3020476854052,6.24769586974531,0.294092227084741
4.61261373175798,0.324472732421668,4.57059517935329,0.372157574821917,4.51126572024788,0.333534672137997,R16,4.60517018598809,5,26,23.8482806331109,6.1182792677978,0.301204013652368
5.23696739676059,0.375834944111437,5.26304876601718,0.326408687951919,5.13676058865891,0.292236053250069,A1,5.29831736654804,2,38,37.6941376941203,5.71772780697024,0.33320646978299
4.9317438966958,0.551325160644389,4.98824318300273,0.544533850232972,5.10814101953667,0.300805922799007,A3,5.29831736654804,3,14,27.9563207734545,7.38955621108831,0.33333594703445
5.28723401443279,0.378815286533183,5.27763635494985,0.385334740598546,5.1098956601071,0.333754819556005,A4,5.29831736654804,1,26,28.5422295281857,6.39071864500419,0.371669282256845
5.17034538988607,0.413732777380085,5.05615973123043,0.422170380685267,4.74240164192751,0.553025488633725,A5,5.29831736654804,5,40,38.7485062313876,6.19872429477435,0.371635447736299
5.08819679590004,0.378893358657856,5.08123276626317,0.393740582519413,4.85362494204213,0.571236585676502,A9,5.29831736654804,3,30,31.4475511564369,5.55859001996742,0.327305616157324
4.61117894069583,0.495407274744436,4.65699954667714,0.481558078602419,4.75815824786065,0.511001800255788,A10,5.29831736654804,5,25,24.7688925214673,6.77260550033712,0.290233180571824
4.01632915375231,0.380459084256836,4.04207761688927,0.403232135176104,4.37495468159981,0.432607967713509,A11,3.91202300542815,4,30,33.7623385323391,5.12942253759387,0.235786205687175
4.56686621635276,0.359990259053805,4.56783933622431,0.392174222417921,4.55459186997996,0.227506342398427,A12,4.60517018598809,4,26,25.0870874548718,4.74557585357198,0.297812082330967
